	Adult_FG_1	Adult_FG_2	Adult_FG_3	Adult_OV_1	Adult_OV_2	Adult_OV_3
FUN_000001-T1	0	0	0	0	0	0
FUN_000002-T1	0	0	0	0	0	0
FUN_000003-T1	0	0	0	0	0	0
FUN_000004-T1	0	0	0	0	0	0
FUN_000005-T1	0	0	0	0	0	0
FUN_000006-T1	0	0	0	0	0	0
FUN_000007-T1	0	1	0	0	0	0
FUN_000008-T1	0	0	0	0	2	0
FUN_000009-T1	5	26	5	7	27	2
FUN_000010-T1	1	27	7	10	47	9
FUN_000011-T1	0	0	0	1	0	0
FUN_000012-T1	3	1	3	4	0	0
FUN_000013-T1	1	35	5	0	0	0
FUN_000014-T1	0	9	0	0	0	0
FUN_000015-T1	6	24	4	0	0	0
FUN_000016-T1	0	0	0	0	0	0
FUN_000017-T1	0	0	0	0	0	0
FUN_000018-T1	1	13	1	0	0	0
FUN_000019-T1	2	0	5	0	0	0
FUN_000020-T1	0	0	0	0	0	0
FUN_000021-T1	0	0	0	0	0	0
FUN_000022-T1	0	0	0	0	0	0
FUN_000023-T1	0	0	0	0	0	0
FUN_000024-T1	0	0	0	0	0	0
FUN_000025-T1	4	3	9	0	0	0
FUN_000026-T1	0	0	0	0	0	0
FUN_000027-T1	0	0	0	0	0	0
FUN_000028-T1	0	0	0	0	0	0
FUN_000029-T1	0	0	0	0	0	0
FUN_000030-T1	0	0	0	0	0	0
FUN_000031-T1	0	0	0	0	0	0
FUN_000032-T1	0	0	0	0	0	0
FUN_000033-T1	0	0	0	0	0	0
FUN_000034-T1	0	0	0	0	0	0
FUN_000035-T1	12	27	9	5	27	16
FUN_000036-T1	208	210	51	93	42	6
FUN_000037-T1	0	0	0	0	0	0
FUN_000038-T1	7	23	2	0	1	0
FUN_000039-T1	657	1101	296	326	754	249
FUN_000040-T1	31	111	27	43	150	28
FUN_000041-T1	0	0	0	0	0	0
FUN_000042-T1	0	0	0	0	0	0
FUN_000043-T1	0	0	0	0	0	0
FUN_000044-T1	0	0	0	0	0	0
FUN_000045-T1	0	0	0	0	0	0
FUN_000046-T1	0	0	0	0	0	0
FUN_000047-T1	0	0	0	0	0	0
FUN_000048-T1	0	0	0	0	0	0
FUN_000049-T1	2	13	2	0	6	3
FUN_000050-T1	0	3	2	0	0	0
FUN_000051-T1	0	0	0	0	3	0
FUN_000052-T1	0	0	0	0	1	0
FUN_000053-T1	0	0	0	0	0	0
FUN_000054-T1	2	0	1	0	1	0
FUN_000055-T1	13085	46431	16817	4321	34565	9029
FUN_000056-T1	319	445	227	373	740	301
FUN_000057-T1	4	9	1	1	14	0
FUN_000058-T1	0	0	0	0	0	0
FUN_000059-T1	0	0	0	0	0	0
FUN_000060-T1	0	0	0	0	0	0
FUN_000061-T1	63	152	59	149	395	85
FUN_000062-T1	11	4	7	3	9	8
FUN_000063-T1	29	112	43	99	250	92
FUN_000064-T1	4	23	4	7	29	6
FUN_000065-T1	0	0	0	0	0	0
FUN_000066-T1	1	0	0	0	0	0
FUN_000067-T1	0	0	0	0	0	0
FUN_000068-T1	46	134	43	80	241	56
FUN_000069-T1	3	4	3	3	8	3
FUN_000070-T1	13	25	10	17	44	12
FUN_000071-T1	32	101	22	19	91	26
FUN_000072-T1	0	0	0	0	0	0
FUN_000073-T1	2	0	0	0	0	0
FUN_000074-T1	0	0	0	0	0	0
FUN_000075-T1	0	0	0	0	0	0
FUN_000076-T1	0	0	0	0	0	0
FUN_000077-T1	0	0	0	0	0	0
FUN_000078-T1	0	0	0	0	0	0
FUN_000079-T1	1	3	1	0	0	0
FUN_000080-T1	2	2	0	1	63	18
FUN_000081-T1	2	0	0	0	0	0
FUN_000082-T1	40	317	68	218	427	247
FUN_000083-T1	5	3	0	25	30	12
FUN_000084-T1	34	167	50	71	282	76
FUN_000085-T1	0	0	0	0	0	0
FUN_000086-T1	0	0	0	0	0	0
FUN_000087-T1	0	0	0	0	0	0
FUN_000088-T1	4	3	0	1	6	0
FUN_000089-T1	44	107	26	23	131	31
FUN_000090-T1	1	4	1	0	5	5
FUN_000091-T1	9	0	0	1	5	3
FUN_000092-T1	0	0	0	0	0	0
FUN_000093-T1	0	0	0	0	0	0
FUN_000094-T1	2	1	0	0	0	0
FUN_000095-T1	4	5	2	0	1	0
FUN_000096-T1	0	0	0	0	0	0
FUN_000097-T1	7	19	4	4	44	12
FUN_000098-T1	343	1169	332	363	2544	688
FUN_000099-T1	0	2	1	0	1	1
FUN_000100-T1	20	25	12	1	43	11
FUN_000101-T1	154	444	99	119	787	170
FUN_000102-T1	0	0	0	0	0	0
FUN_000103-T1	8	22	6	0	0	0
FUN_000104-T1	6	24	0	0	0	1
FUN_000105-T1	15	43	19	2	4	1
FUN_000106-T1	3	5	0	0	0	0
FUN_000107-T1	0	0	0	0	0	0
FUN_000108-T1	0	0	0	0	0	0
FUN_000109-T1	0	0	0	0	0	0
FUN_000110-T1	0	0	0	0	0	0
FUN_000111-T1	440	705	149	159	199	61
FUN_000112-T1	65	189	87	111	351	118
FUN_000113-T1	0	0	0	0	4	1
FUN_000114-T1	0	0	0	0	3	0
FUN_000115-T1	5	1	0	0	0	0
FUN_000116-T1	26	165	20	0	6	3
FUN_000117-T1	0	0	0	0	0	0
FUN_000118-T1	0	0	0	0	1	0
FUN_000119-T1	169	574	136	181	753	208
FUN_000120-T1	147	392	127	45	247	53
FUN_000121-T1	3	4	0	66	144	21
FUN_000122-T1	62	86	45	87	129	51
FUN_000123-T1	19	25	19	29	40	14
FUN_000124-T1	15	36	12	22	56	25
FUN_000125-T1	12	21	4	7	19	10
FUN_000126-T1	13	10	15	33	49	14
FUN_000127-T1	4	15	3	22	19	4
FUN_000128-T1	81	61	32	22	31	10
FUN_000129-T1	2	1	0	0	0	0
FUN_000130-T1	0	0	0	0	0	0
FUN_000131-T1	557	702	457	250	694	210
FUN_000132-T1	0	1	0	0	1	0
