Sample	Condition	Replicate	Expression	Week	Log_1
ctl-1w-R1	CTL_1W	R1	634.3606744	1	2.803020
ctl-1w-R2	CTL_1W	R2	1786.953985	1	3.252356
ctl-1w-R3	CTL_1W	R3	201.6469408	1	2.306740
GFP-1w-R1	GFP_1W	R1	181.3753795	1	2.260966
GFP-1w-R2	GFP_1W	R2	633.3554282	1	2.802333
GFP-1w-R3	GFP_1W	R3	215.1862667	1	2.334828
yell-1w-R1	YELL_1W	R1	1.392746395	1	0.378897
yell-1w-R2	YELL_1W	R2	0.610351968	1	0.206921
yell-1w-R3	YELL_1W	R3	0.996901637	1	0.300357
ctl-2w-R1	CTL_2W	R1	5811.243585	2	3.764344
ctl-2w-R2	CTL_2W	R2	5720.749306	2	3.757529
ctl-2w-R3	CTL_2W	R3	674.9761971	2	2.829931
GFP-2w-R1	GFP_2W	R1	5374.187464	2	3.730394
GFP-2w-R2	GFP_2W	R2	1281.702221	2	3.108126
GFP-2w-R3	GFP_2W	R3	3503.358146	2	3.544608
yell-2w-R1	YELL_2W	R1	1.647714208	2	0.422871
yell-2w-R2	YELL_2W	R2	0.656514777	2	0.219195
yell-2w-R3	YELL_2W	R3	0.695771015	2	0.229367
ctl-3w-R1	CTL_3W	R1	837.7412107	3	2.923628
ctl-3w-R2	CTL_3W	R2	504.0054789	3	2.703296
ctl-3w-R3	CTL_3W	R3	343.7886148	3	2.537553
GFP-3w-R1	GFP_3W	R1	560.6696539	3	2.749481
GFP-3w-R2	GFP_3W	R2	1296.020337	3	3.112947
GFP-3w-R3	GFP_3W	R3	1756.184758	3	3.244817
yell-3w-R1	YELL_3W	R1	1.296158494	3	0.361002
yell-3w-R2	YELL_3W	R2	1.028610412	3	0.307199
yell-3w-R3	YELL_3W	R3	0.675231094	3	0.224075
ctl-5w-R1	CTL_5W	R1	5224.249413	5	3.718107
ctl-5w-R2	CTL_5W	R2	620.4260411	5	2.793389
ctl-5w-R3	CTL_5W	R3	414.6810899	5	2.618760
GFP-5w-R1	GFP_5W	R1	3686.50203	5	3.566732
GFP-5w-R2	GFP_5W	R2	2008.113071	5	3.303004
GFP-5w-R3	GFP_5W	R3	3357.984887	5	3.526208
yell-5w-R1	YELL_5W	R1	1.411220516	5	0.382237
yell-5w-R2	YELL_5W	R2	0.630845211	5	0.212413
yell-5w-R3	YELL_5W	R3	0.957934273	5	0.291798
