Sample	Condition	Section	Age	Replicate	copy_number	Log
S1-1d-R1	S1_1d	S1	1d	R1	372.62	2.571266707
S1-1d-R2	S1_1d	S1	1d	R2	116.93	2.06793007
S1-1d-R3	S1_1d	S1	1d	R3	199.56	2.300078776
S1-31d-R1	S1_31d	S1	31d	R1	5272766.72	6.722038557
S1-31d-R2	S1_31d	S1	31d	R2	5999064.81	6.778083554
S1-31d-R3	S1_31d	S1	31d	R3	1791970.81	6.253330931
S2-1d-R1	S2_1d	S2	1d	R1	437.32	2.640801672
S2-1d-R2	S2_1d	S2	1d	R2	22.61	1.354236809
S2-1d-R3	S2_1d	S2	1d	R3	20.27	1.306812159
S2-31d-R1	S2_31d	S2	31d	R1	30288573.26	7.481278816
S2-31d-R2	S2_31d	S2	31d	R2	18479263.21	7.266684651
S2-31d-R3	S2_31d	S2	31d	R3	13806959.57	7.140098053
S3-1d-R1	S3_1d	S3	1d	R1	40.54	1.607842154
S3-1d-R2	S3_1d	S3	1d	R2	186.31	2.270236712
S3-1d-R3	S3_1d	S3	1d	R3	18537139.43	7.268042717
S3-31d-R1	S3_31d	S3	31d	R1	374949747.80	8.573973066
S3-31d-R2	S3_31d	S3	31d	R2	358385589.31	8.554350538
S3-31d-R3	S3_31d	S3	31d	R3	176142783.48	8.245864855
