Sample	Treatment	Replicate	titers
CTL_UNT_R1	CTL_UNT	R1	2255040.609
CTL_UNT_R2	CTL_UNT	R2	4188194.04
CTL_UNT_R3	CTL_UNT	R3	95633.27708
CTL_HUM_R1	CTL_HUM	R1	1211711.093
CTL_HUM_R2	CTL_HUM	R2	1201461.692
CTL_HUM_R3	CTL_HUM	R3	1685073.949
GFP_UNT_R1	GFP_UNT	R1	289164.3971
GFP_UNT_R2	GFP_UNT	R2	334652.1577
GFP_UNT_R3	GFP_UNT	R3	3657698.645
GFP_HUM_R1	GFP_HUM	R1	1302182.251
GFP_HUM_R2	GFP_HUM	R2	285102.2103
GFP_HUM_R3	GFP_HUM	R3	4480758.794
YELL_UNT_R1	YELL_UNT	R1	4527487.583
YELL_UNT_R2	YELL_UNT	R2	410262.1516
YELL_UNT_R3	YELL_UNT	R3	3118800.58
YELL_HUM_R1	YELL_HUM	R1	433380.2114
YELL_HUM_R2	YELL_HUM	R2	27844.4153
YELL_HUM_R3	YELL_HUM	R3	25.72484405
