	CTL_UNT_R1	CTL_UNT_R2	CTL_UNT_R3	CTL_HUM_R1	CTL_HUM_R2	CTL_HUM_R3	GFP_UNT_R1	GFP_UNT_R2	GFP_UNT_R3	GFP_HUM_R1	GFP_HUM_R2	GFP_HUM_R3	YELL_UNT_R1	YELL_UNT_R2	YELL_UNT_R3	YELL_HUM_R1	YELL_HUM_R2	YELL_HUM_R3
RNaseP_bact_a	44	115	23	122	288	62	31	9	216	81	10	299	138	31	156	14	35	0
ssra	307	1578	320	2545	5194	1074	329	115	3133	1039	180	3146	2050	326	1693	261	259	0
rpoC 	23	39	4	87	150	34	16	3	135	32	2	117	70	61	51	9	11	0
rpoB 	28	50	10	115	194	30	17	4	146	69	2	162	84	55	69	14	21	0
recB 	0	0	0	0	0	1	0	0	1	1	0	2	1	0	0	0	0	0
recC 	1	1	0	1	2	0	1	0	1	0	0	5	1	0	0	0	0	0
dnaE 	6	15	0	41	46	6	2	0	27	14	0	21	12	4	12	2	2	0
ileS 	1	7	4	13	24	8	3	0	21	6	0	19	17	7	11	1	3	0
alaS 	0	4	0	12	11	1	2	0	17	2	0	6	9	1	0	0	1	0
valS 	1	3	1	5	12	2	5	0	12	2	0	4	4	5	3	0	3	0
secA 	14	19	0	57	79	10	8	1	79	34	0	47	28	17	20	4	4	0
gyrA 	7	14	2	14	25	4	9	1	19	7	2	18	18	3	12	2	2	0
leuS 	0	1	0	6	10	0	2	0	6	3	0	3	3	1	2	0	2	0
bamA 	0	0	0	1	3	2	0	0	5	2	0	1	3	2	3	1	0	0
gyrB 	4	10	1	25	18	11	1	0	19	9	0	8	17	5	6	3	8	0
lon 	4	11	1	19	34	6	4	0	50	19	0	42	22	7	18	2	7	0
pheT 	0	0	0	1	2	7	0	0	1	0	0	2	0	0	1	0	0	0
fusA 	22	66	5	171	251	51	24	8	217	76	10	221	184	60	121	23	24	0
pnp 	25	44	5	110	144	31	11	4	89	69	5	72	50	46	76	10	33	0
glyS 	0	0	0	4	0	0	2	0	1	0	0	0	0	1	3	0	0	0
